 [('115.238.59.86', '53400', '浙江杭州', 'HTTPS')]
[('121.227.89.58', '8118', '江苏苏州', 'HTTP')]
[('113.88.211.105', '8118', '广东深圳', 'HTTP')]
[('110.73.7.167', '8123', '广西防城港', 'HTTP')]
[('115.231.5.230', '44524', '浙江杭州', 'HTTPS')]
[('61.164.39.66', '53281', '浙江杭州', 'HTTPS')]
[('115.213.179.242', '50218', '浙江丽水', 'HTTPS')]
[('218.76.253.201', '61408', '湖南永州', 'HTTPS')]
[('180.118.252.180', '8118', '江苏镇江', 'HTTP')]
[('175.10.24.127', '3128', '湖南', 'HTTP')]
[('121.239.128.176', '8118', '江苏', 'HTTP')]
[('61.135.155.82', '443', '北京', 'HTTP')]
[('124.93.201.59', '59618', '辽宁大连', 'HTTPS')]
[('27.42.168.46', '48919', '广东中山', 'HTTP')]
[('119.147.137.79', '8008', '广东佛山', 'HTTPS')]
[('117.88.177.100', '3000', '江苏南京', 'HTTPS')]
[('113.116.179.245', '8118', '广东深圳', 'HTTPS')]
[('115.219.109.115', '8010', '浙江温州', 'HTTPS')]
[('121.237.148.56', '3000', '江苏南京', 'HTTPS')]
[('117.88.5.28', '3000', '江苏南京', 'HTTP')]
[('113.91.171.40', '8118', '广东深圳', 'HTTP')]
[('114.99.23.192', '808', '安徽安庆', 'HTTPS')]
[('183.143.38.164', '8118', '浙江湖州', 'HTTP')]
[('60.217.64.237', '31923', '山东威海', 'HTTP')]
[('117.88.5.90', '3000', '江苏南京', 'HTTP')]
[('120.132.116.81', '8080', '北京', 'HTTP')]
[('117.88.176.205', '3000', '江苏南京', 'HTTP')]
[('117.88.176.186', '3000', '江苏南京', 'HTTPS')]
[('182.91.243.73', '8118', '广西南宁', 'HTTP')]
[('220.187.210.64', '8118', '浙江绍兴', 'HTTP')]
[('59.44.78.30', '42335', '辽宁大连', 'HTTP')]
[('121.237.148.195', '3000', '江苏南京', 'HTTP')]
[('121.234.31.44', '8118', '江苏盐城', 'HTTPS')]
[('117.88.4.63', '3000', '江苏南京', 'HTTP')]
[('222.95.144.58', '3000', '江苏南京', 'HTTP')]
[('58.58.213.55', '8888', '山东', 'HTTPS')]
